gvkey,n_quarters,z_plus_lag1,z_plus_renorm_lag1,breadth_lag1,z_mahalanobis_sq_lag1,t_iut_lag1,z_plus_softmax_lag1,z_plus_orth_lag1
1928,67,0.6533535864906608,0.5029654007149743,0.4389168765743073,,0.9125087845230542,0.5260153531078766,0.5170136392565403
1951,65,0.2289540039325728,0.0856202443193524,0.4529945248690768,,0.4539130968019349,0.2895636355559532,0.2862530711504165
1955,28,0.1260431681202579,0.3408723421357004,0.1625655462211529,0.5139937778192228,0.7236670703650208,0.39997848632394,0.3994568448368331
2063,72,0.651535769079412,0.6262987882028648,0.4610218978102187,0.1405852692141213,0.6602783893963637,0.695995168992247,0.6942156561579592
2070,59,0.4261794264447547,0.2555484077792669,0.3716356747652417,,0.9367948699518834,0.4607040634415601,0.4592207006292222
2089,61,0.2639106176980674,0.321663208190065,0.1766558332432697,0.1542504777807323,0.1647372253340747,0.3205373342854494,0.3216241878319082
2107,43,0.8109109789301571,0.3978543185328511,0.809383435852448,-0.1238769347324434,0.8170498059293289,0.6283554540035561,0.631951543584577
2318,59,0.559023529377657,0.3839355831008609,0.6298390207358906,0.4087607845941045,0.5164987857484747,0.2137652245065918,0.2165692405651725
2340,56,0.488654273985847,0.5476195498453975,0.4389044406288165,0.4609632247168975,0.2463661214665104,0.7029064444363291,0.7064480234029649
2363,18,-0.3129232980011914,0.3423796330421392,0.1556291390728476,-0.2739416419352684,0.0427689712548358,-0.1264906830782785,-0.1381910478566882
2364,40,0.5591125235249638,0.6621575214933132,0.7568950517354311,0.5681811152310411,0.7149333931039562,0.363375846836808,0.3706588016467838
2368,71,0.6320868858503276,0.6319101000281245,0.5355234614249802,0.6554399982442703,0.7208032508871578,0.5810108060526237,0.5776383685811188
2370,34,0.6538854207991096,0.6095396012692929,0.7557760143502706,0.7053318380822527,0.6827556117456994,0.7333566701029294,0.7398810177856833
2371,44,0.7095128079022623,0.7849753199669612,0.311241339363606,0.8882474202523647,0.7920653621999062,0.8933059263356002,0.8902180536097315
2376,86,0.4139970000732716,0.4305181320800169,0.595791257947417,0.1129931034220193,0.8340501104139351,0.421833568571069,0.4184164771827434
2382,36,0.4776841986194656,0.3961097615488511,0.8176932535269181,0.4755581414269161,0.6185148970171462,0.4773928926173495,0.4717150112050029
2387,56,0.7252436205173076,0.5521038454899213,0.6842432718098257,0.2681220912262726,0.9039443301132534,0.6028285882992358,0.6025484899586815
2411,48,0.2368820021335517,0.1128432026672821,0.4422632616403188,-0.1051528441966025,0.2665057130321289,0.1997618458336621,0.2000555693296234
2514,44,0.5343030230469179,0.3720765113188519,0.777710976354529,0.7058150077980937,0.6321904277855998,0.6146230575777079,0.621070219037558
2520,39,0.4382156276562987,0.3724071785492628,0.4402000778451271,0.1122031277486972,0.4902400624338376,0.4697804754744561,0.462601946184276
2523,41,0.5183026168159296,0.4698003723112859,0.5124158833868867,0.0219841342454982,0.2750949826378387,0.5405618384450211,0.5420210823894602
2553,78,0.8314174297074232,0.6440907676214483,0.901675678819007,0.6613795387977228,0.7608355820748854,0.6841683458579344,0.6883265285185381
2554,88,0.7225815170222097,0.5705961529490419,0.3291357644557628,0.3850284012530137,0.4720106010224928,0.7357066367404491,0.7356978665603203
2588,31,0.5598409666401998,0.1062189651522213,0.6001920922091794,,0.3674224940285766,0.5451472833380484,0.5398973763278768
2599,34,0.4428730724892272,0.1107636715226506,0.7385807248444133,,0.7692839464154596,0.0680293511173377,0.0819370285124455
2615,52,0.6594679577957786,0.4739449466142935,0.5507153470083691,0.4282749970480425,0.7513580437840546,0.6036085850475931,0.6062265432457443
2643,79,0.6135120930304749,0.3822017312938377,0.5623504661250502,-0.489450927451741,0.5184257224160074,0.653257563047202,0.653829977307401
2691,29,0.1580659261552205,0.3206345045949885,0.3655037472984263,0.3503738954358052,0.6168540325392938,0.3240263384466819,0.3236262144790243
2747,31,0.3533154979947744,0.3319726117954445,0.1819563357185128,0.1735038208775175,0.5687088731024889,0.3452943285302279,0.3459260714726592
2770,27,0.1101264107844858,0.0209487146944066,0.2422501170433535,0.206921260848998,0.5374611651349496,0.0270291726627661,0.0418902924191466
2795,33,0.664876124934916,0.5678226200973528,0.6906066190342792,,0.7247783758101718,0.6443043846132573,0.649313096475143
2804,28,0.2485582644984975,0.2674220654331735,0.4621260490976863,0.1259562240700743,0.4690765952254691,0.2098297320450528,0.2139884755798861
2811,33,0.7299527943298003,0.6968841581786844,0.7991940575041342,0.4483125587728778,0.0813819618997255,0.7170347835958346,0.7181785973532329
2812,32,0.3656741229122529,0.3890665938572698,0.3933653297112311,0.4214242895105211,0.2765043799967676,0.3663229339639386,0.36951318946756
