facet,value,detector,n,mean,std
year,2017.0,z1,592,0.3464256007565616,1.8595824561853136
year,2017.0,z2,594,0.2444228230472333,2.233350125293245
year,2017.0,z3,586,0.0347870777372993,0.9620217086848776
year,2017.0,z4,594,-0.2809973493169154,1.048988598841371
year,2017.0,z6,586,1.023853828630676,2.1903164989808457
year,2017.0,z8,476,0.0334327656900175,0.9377003073363523
year,2017.0,z57,594,0.1460909617801128,0.9730773061646384
year,2018.0,z1,603,0.3681807137355632,1.895674595267287
year,2018.0,z2,607,0.1998748948075805,2.234876824065024
year,2018.0,z3,598,-0.0077722577752105,0.953106323231746
year,2018.0,z4,607,-0.3031186996747954,1.0143402912319657
year,2018.0,z6,597,1.0083483382555083,2.1468424851687384
year,2018.0,z8,483,0.1587580611084075,0.9991648822206248
year,2018.0,z57,607,0.1419605394774348,0.960472821509492
year,2019.0,z1,636,0.461686390107372,1.8359611443791264
year,2019.0,z2,637,0.1371092105502906,2.110789406809781
year,2019.0,z3,630,-0.0050115345454532,1.010443608288083
year,2019.0,z4,637,-0.2937245860713094,1.0159670306314594
year,2019.0,z6,628,1.345347702859575,2.3769624203941357
year,2019.0,z8,510,0.0643543393353815,1.0519068039907609
year,2019.0,z57,637,0.2516341195622449,1.105321992668311
year,2020.0,z1,659,0.3293485303117472,1.7316651140157169
year,2020.0,z2,659,0.3401937468882523,2.1180828351634022
year,2020.0,z3,651,-0.04973298549162,1.0157766455554604
year,2020.0,z4,659,-0.2844120332136971,1.0109985709195128
year,2020.0,z6,647,1.027931472339923,2.1895702580872407
year,2020.0,z8,550,-0.2844665818950475,1.1066599906553605
year,2020.0,z57,659,0.2316081213941488,0.9257365006686468
year,2021.0,z1,691,0.2307066044751024,1.7491613669629618
year,2021.0,z2,691,0.7303991013112349,2.210758746896237
year,2021.0,z3,676,-0.0892333941785325,1.0343228107939753
year,2021.0,z4,691,-0.2527619025851731,1.0345770524419835
year,2021.0,z6,673,1.120773813892609,2.249539129611071
year,2021.0,z8,582,-0.1200230253461493,0.9566903774588384
year,2021.0,z57,691,0.2336169903060099,1.0923770754773454
year,2022.0,z1,719,0.1046937440813143,1.6580832498691234
year,2022.0,z2,719,0.7451384478854082,2.307693219873924
year,2022.0,z3,712,0.091171248871415,0.9891679574028714
year,2022.0,z4,719,-0.2455379483595039,1.0287119612897868
year,2022.0,z6,708,1.0366234242412984,2.293604857615545
year,2022.0,z8,633,0.333642860871645,0.973018782715201
year,2022.0,z57,719,0.2050866735317107,1.003223678260336
year,2023.0,z1,692,0.2623557211967787,1.7890355051603335
year,2023.0,z2,692,0.0431009257938584,2.260899986565377
year,2023.0,z3,675,0.0796799517547987,0.9420816520526204
year,2023.0,z4,692,-0.2640657040039486,1.0018025403419957
year,2023.0,z6,665,1.1900311580305682,2.2666553713844846
year,2023.0,z8,596,0.2913112661834814,0.9261061794096404
year,2023.0,z57,692,0.1967037026764798,1.0378886062465098
year,2024.0,z1,709,0.3935564142385377,1.8943632122575291
year,2024.0,z2,710,0.0828691461210501,2.152627527657373
year,2024.0,z3,700,0.1311126347707705,0.9432032341606584
year,2024.0,z4,710,-0.2656685274848702,0.9934989164712557
year,2024.0,z6,688,0.9405400757107052,2.150755560043317
year,2024.0,z8,617,0.0664591469198106,0.9833085804932412
year,2024.0,z57,708,-0.5793849410552544,1.0899088260797796
year,2025.0,z1,491,0.350360807120912,1.8462102388662127
year,2025.0,z2,491,0.1727670849232108,2.1829263707555437
year,2025.0,z3,491,0.1634563937236492,0.7546955086284479
year,2025.0,z4,491,-0.2230069394155069,0.9873220855104476
