archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,1.5,breadth,0.001,500,0.0
threshold_clustering,1.5,z_mahalanobis_sq,0.05,500,0.124
threshold_clustering,1.5,z_mahalanobis_sq,0.01,500,0.014
threshold_clustering,1.5,z_mahalanobis_sq,0.001,500,0.004
threshold_clustering,1.5,t_iut,0.05,500,0.112
threshold_clustering,1.5,t_iut,0.01,500,0.038
threshold_clustering,1.5,t_iut,0.001,500,0.002
threshold_clustering,1.5,z_plus_softmax,0.05,500,0.014
threshold_clustering,1.5,z_plus_softmax,0.01,500,0.006
threshold_clustering,1.5,z_plus_softmax,0.001,500,0.004
threshold_clustering,1.5,z_plus_orth,0.05,500,0.014
threshold_clustering,1.5,z_plus_orth,0.01,500,0.006
threshold_clustering,1.5,z_plus_orth,0.001,500,0.004
threshold_clustering,2.0,z_plus,0.05,500,0.192
threshold_clustering,2.0,z_plus,0.01,500,0.054
threshold_clustering,2.0,z_plus,0.001,500,0.014
threshold_clustering,2.0,z_plus_renorm,0.05,500,0.058
threshold_clustering,2.0,z_plus_renorm,0.01,500,0.0
threshold_clustering,2.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,2.0,breadth,0.05,500,0.052
threshold_clustering,2.0,breadth,0.01,500,0.0
threshold_clustering,2.0,breadth,0.001,500,0.0
threshold_clustering,2.0,z_mahalanobis_sq,0.05,500,0.228
threshold_clustering,2.0,z_mahalanobis_sq,0.01,500,0.034
threshold_clustering,2.0,z_mahalanobis_sq,0.001,500,0.006
threshold_clustering,2.0,t_iut,0.05,500,0.108
threshold_clustering,2.0,t_iut,0.01,500,0.05
threshold_clustering,2.0,t_iut,0.001,500,0.012
threshold_clustering,2.0,z_plus_softmax,0.05,500,0.01
threshold_clustering,2.0,z_plus_softmax,0.01,500,0.006
threshold_clustering,2.0,z_plus_softmax,0.001,500,0.006
threshold_clustering,2.0,z_plus_orth,0.05,500,0.01
threshold_clustering,2.0,z_plus_orth,0.01,500,0.006
threshold_clustering,2.0,z_plus_orth,0.001,500,0.006
threshold_clustering,3.0,z_plus,0.05,500,0.354
threshold_clustering,3.0,z_plus,0.01,500,0.156
threshold_clustering,3.0,z_plus,0.001,500,0.046
threshold_clustering,3.0,z_plus_renorm,0.05,500,0.168
threshold_clustering,3.0,z_plus_renorm,0.01,500,0.004
threshold_clustering,3.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,3.0,breadth,0.05,500,0.036
threshold_clustering,3.0,breadth,0.01,500,0.0
threshold_clustering,3.0,breadth,0.001,500,0.0
threshold_clustering,3.0,z_mahalanobis_sq,0.05,500,0.614
threshold_clustering,3.0,z_mahalanobis_sq,0.01,500,0.234
threshold_clustering,3.0,z_mahalanobis_sq,0.001,500,0.006
threshold_clustering,3.0,t_iut,0.05,500,0.114
threshold_clustering,3.0,t_iut,0.01,500,0.034
threshold_clustering,3.0,t_iut,0.001,500,0.008
threshold_clustering,3.0,z_plus_softmax,0.05,500,0.004
threshold_clustering,3.0,z_plus_softmax,0.01,500,0.004
threshold_clustering,3.0,z_plus_softmax,0.001,500,0.004
threshold_clustering,3.0,z_plus_orth,0.05,500,0.006
threshold_clustering,3.0,z_plus_orth,0.01,500,0.004
