archetype,delta,detector,alpha,n_finite,flag_rate
round_number,0.5,z4,0.05,500,0.026
round_number,0.5,z4,0.01,500,0.002
round_number,0.5,z4,0.001,500,0.0
round_number,0.5,z6,0.05,500,0.322
round_number,0.5,z6,0.01,500,0.228
round_number,0.5,z6,0.001,500,0.158
round_number,0.5,z8,0.05,500,0.056
round_number,0.5,z8,0.01,500,0.01
round_number,0.5,z8,0.001,500,0.0
round_number,0.5,z57,0.05,500,0.038
round_number,0.5,z57,0.01,500,0.01
round_number,0.5,z57,0.001,500,0.008
round_number,1.0,z1,0.05,500,0.256
round_number,1.0,z1,0.01,500,0.084
round_number,1.0,z1,0.001,500,0.076
round_number,1.0,z2,0.05,500,0.376
round_number,1.0,z2,0.01,500,0.264
round_number,1.0,z2,0.001,500,0.19
round_number,1.0,z3,0.05,500,0.052
round_number,1.0,z3,0.01,500,0.004
round_number,1.0,z3,0.001,500,0.002
round_number,1.0,z4,0.05,500,0.036
round_number,1.0,z4,0.01,500,0.0
round_number,1.0,z4,0.001,500,0.0
round_number,1.0,z6,0.05,500,0.346
round_number,1.0,z6,0.01,500,0.272
round_number,1.0,z6,0.001,500,0.222
round_number,1.0,z8,0.05,500,0.048
round_number,1.0,z8,0.01,500,0.014
round_number,1.0,z8,0.001,500,0.002
round_number,1.0,z57,0.05,500,0.046
round_number,1.0,z57,0.01,500,0.01
round_number,1.0,z57,0.001,500,0.008
round_number,1.5,z1,0.05,500,0.4
round_number,1.5,z1,0.01,500,0.206
round_number,1.5,z1,0.001,500,0.062
round_number,1.5,z2,0.05,500,0.454
round_number,1.5,z2,0.01,500,0.332
round_number,1.5,z2,0.001,500,0.208
round_number,1.5,z3,0.05,500,0.046
round_number,1.5,z3,0.01,500,0.004
round_number,1.5,z3,0.001,500,0.0
round_number,1.5,z4,0.05,500,0.038
round_number,1.5,z4,0.01,500,0.004
round_number,1.5,z4,0.001,500,0.0
round_number,1.5,z6,0.05,500,0.298
round_number,1.5,z6,0.01,500,0.22
round_number,1.5,z6,0.001,500,0.18
round_number,1.5,z8,0.05,500,0.062
round_number,1.5,z8,0.01,500,0.01
round_number,1.5,z8,0.001,500,0.004
round_number,1.5,z57,0.05,500,0.05
round_number,1.5,z57,0.01,500,0.004
round_number,1.5,z57,0.001,500,0.002
round_number,2.0,z1,0.05,500,0.632
round_number,2.0,z1,0.01,500,0.374
round_number,2.0,z1,0.001,500,0.124
round_number,2.0,z2,0.05,500,0.608
round_number,2.0,z2,0.01,500,0.496
round_number,2.0,z2,0.001,500,0.334
round_number,2.0,z3,0.05,500,0.042
round_number,2.0,z3,0.01,500,0.006
round_number,2.0,z3,0.001,500,0.0
round_number,2.0,z4,0.05,500,0.036
round_number,2.0,z4,0.01,500,0.002
round_number,2.0,z4,0.001,500,0.0
round_number,2.0,z6,0.05,500,0.318
round_number,2.0,z6,0.01,500,0.252
round_number,2.0,z6,0.001,500,0.194
round_number,2.0,z8,0.05,500,0.068
round_number,2.0,z8,0.01,500,0.01
round_number,2.0,z8,0.001,500,0.0
round_number,2.0,z57,0.05,500,0.058
round_number,2.0,z57,0.01,500,0.016
round_number,2.0,z57,0.001,500,0.014
round_number,3.0,z1,0.05,500,0.91
round_number,3.0,z1,0.01,500,0.726
round_number,3.0,z1,0.001,500,0.45
round_number,3.0,z2,0.05,500,0.768
round_number,3.0,z2,0.01,500,0.636
round_number,3.0,z2,0.001,500,0.492
round_number,3.0,z3,0.05,500,0.034
round_number,3.0,z3,0.01,500,0.006
round_number,3.0,z3,0.001,500,0.002
round_number,3.0,z4,0.05,500,0.03
round_number,3.0,z4,0.01,500,0.002
round_number,3.0,z4,0.001,500,0.0
round_number,3.0,z6,0.05,500,0.326
round_number,3.0,z6,0.01,500,0.218
round_number,3.0,z6,0.001,500,0.166
round_number,3.0,z8,0.05,500,0.062
round_number,3.0,z8,0.01,500,0.012
round_number,3.0,z8,0.001,500,0.0
round_number,3.0,z57,0.05,500,0.036
round_number,3.0,z57,0.01,500,0.008
round_number,3.0,z57,0.001,500,0.006
temporal_smoothing,0.5,z1,0.05,500,0.052
temporal_smoothing,0.5,z1,0.01,500,0.052
temporal_smoothing,0.5,z1,0.001,500,0.052
temporal_smoothing,0.5,z2,0.05,500,0.244
temporal_smoothing,0.5,z2,0.01,500,0.154
temporal_smoothing,0.5,z2,0.001,500,0.102
temporal_smoothing,0.5,z3,0.05,500,0.042
temporal_smoothing,0.5,z3,0.01,500,0.004
temporal_smoothing,0.5,z3,0.001,500,0.002
temporal_smoothing,0.5,z4,0.05,500,0.05
temporal_smoothing,0.5,z4,0.01,500,0.01
temporal_smoothing,0.5,z4,0.001,500,0.0
temporal_smoothing,0.5,z6,0.05,500,0.388
temporal_smoothing,0.5,z6,0.01,500,0.264
temporal_smoothing,0.5,z6,0.001,500,0.206
temporal_smoothing,0.5,z8,0.05,500,0.048
temporal_smoothing,0.5,z8,0.01,500,0.008
temporal_smoothing,0.5,z8,0.001,500,0.0
temporal_smoothing,0.5,z57,0.05,500,0.052
temporal_smoothing,0.5,z57,0.01,500,0.014
temporal_smoothing,0.5,z57,0.001,500,0.012
temporal_smoothing,1.0,z1,0.05,500,0.076
temporal_smoothing,1.0,z1,0.01,500,0.076
temporal_smoothing,1.0,z1,0.001,500,0.076
temporal_smoothing,1.0,z2,0.05,500,0.236
temporal_smoothing,1.0,z2,0.01,500,0.132
temporal_smoothing,1.0,z2,0.001,500,0.078
temporal_smoothing,1.0,z3,0.05,500,0.044
temporal_smoothing,1.0,z3,0.01,500,0.006
temporal_smoothing,1.0,z3,0.001,500,0.004
temporal_smoothing,1.0,z4,0.05,500,0.034
temporal_smoothing,1.0,z4,0.01,500,0.002
temporal_smoothing,1.0,z4,0.001,500,0.0
temporal_smoothing,1.0,z6,0.05,500,0.48
temporal_smoothing,1.0,z6,0.01,500,0.34
temporal_smoothing,1.0,z6,0.001,500,0.25
temporal_smoothing,1.0,z8,0.05,500,0.064
temporal_smoothing,1.0,z8,0.01,500,0.014
temporal_smoothing,1.0,z8,0.001,500,0.0
temporal_smoothing,1.0,z57,0.05,500,0.038
temporal_smoothing,1.0,z57,0.01,500,0.008
temporal_smoothing,1.0,z57,0.001,500,0.004
temporal_smoothing,1.5,z1,0.05,500,0.068
temporal_smoothing,1.5,z1,0.01,500,0.068
temporal_smoothing,1.5,z1,0.001,500,0.068
temporal_smoothing,1.5,z2,0.05,500,0.224
temporal_smoothing,1.5,z2,0.01,500,0.16
temporal_smoothing,1.5,z2,0.001,500,0.112
temporal_smoothing,1.5,z3,0.05,500,0.034
