archetype,delta,composite,alpha,n_finite,detection_rate
round_number,0.5,z_plus_renorm,0.001,496,0.0
round_number,0.5,breadth,0.05,500,0.018
round_number,0.5,breadth,0.01,500,0.018
round_number,0.5,breadth,0.001,500,0.0
round_number,0.5,z_mahalanobis_sq,0.05,500,0.082
round_number,0.5,z_mahalanobis_sq,0.01,500,0.01
round_number,0.5,z_mahalanobis_sq,0.001,500,0.006
round_number,0.5,t_iut,0.05,500,0.066
round_number,0.5,t_iut,0.01,500,0.018
round_number,0.5,t_iut,0.001,500,0.004
round_number,0.5,z_plus_softmax,0.05,496,0.1612903225806451
round_number,0.5,z_plus_softmax,0.01,496,0.1512096774193548
round_number,0.5,z_plus_softmax,0.001,496,0.1512096774193548
round_number,0.5,z_plus_orth,0.05,496,0.1633064516129032
round_number,0.5,z_plus_orth,0.01,496,0.1532258064516129
round_number,0.5,z_plus_orth,0.001,496,0.1512096774193548
round_number,1.0,z_plus,0.05,500,0.098
round_number,1.0,z_plus,0.01,500,0.01
round_number,1.0,z_plus,0.001,500,0.0
round_number,1.0,z_plus_renorm,0.05,498,0.0441767068273092
round_number,1.0,z_plus_renorm,0.01,498,0.0080321285140562
round_number,1.0,z_plus_renorm,0.001,498,0.0
round_number,1.0,breadth,0.05,500,0.01
round_number,1.0,breadth,0.01,500,0.01
round_number,1.0,breadth,0.001,500,0.0
round_number,1.0,z_mahalanobis_sq,0.05,500,0.088
round_number,1.0,z_mahalanobis_sq,0.01,500,0.01
round_number,1.0,z_mahalanobis_sq,0.001,500,0.004
round_number,1.0,t_iut,0.05,500,0.104
round_number,1.0,t_iut,0.01,500,0.014
round_number,1.0,t_iut,0.001,500,0.006
round_number,1.0,z_plus_softmax,0.05,498,0.1244979919678714
round_number,1.0,z_plus_softmax,0.01,498,0.1204819277108433
round_number,1.0,z_plus_softmax,0.001,498,0.1204819277108433
round_number,1.0,z_plus_orth,0.05,498,0.1204819277108433
round_number,1.0,z_plus_orth,0.01,498,0.1204819277108433
round_number,1.0,z_plus_orth,0.001,498,0.1204819277108433
round_number,1.5,z_plus,0.05,500,0.138
round_number,1.5,z_plus,0.01,500,0.018
round_number,1.5,z_plus,0.001,500,0.002
round_number,1.5,z_plus_renorm,0.05,500,0.086
round_number,1.5,z_plus_renorm,0.01,500,0.012
round_number,1.5,z_plus_renorm,0.001,500,0.0
round_number,1.5,breadth,0.05,500,0.02
round_number,1.5,breadth,0.01,500,0.02
round_number,1.5,breadth,0.001,500,0.0
round_number,1.5,z_mahalanobis_sq,0.05,500,0.13
round_number,1.5,z_mahalanobis_sq,0.01,500,0.01
round_number,1.5,z_mahalanobis_sq,0.001,500,0.004
round_number,1.5,t_iut,0.05,500,0.088
round_number,1.5,t_iut,0.01,500,0.026
round_number,1.5,t_iut,0.001,500,0.002
round_number,1.5,z_plus_softmax,0.05,500,0.128
round_number,1.5,z_plus_softmax,0.01,500,0.128
round_number,1.5,z_plus_softmax,0.001,500,0.128
round_number,1.5,z_plus_orth,0.05,500,0.128
round_number,1.5,z_plus_orth,0.01,500,0.128
round_number,1.5,z_plus_orth,0.001,500,0.128
round_number,2.0,z_plus,0.05,500,0.206
round_number,2.0,z_plus,0.01,500,0.034
round_number,2.0,z_plus,0.001,500,0.0
round_number,2.0,z_plus_renorm,0.05,500,0.118
round_number,2.0,z_plus_renorm,0.01,500,0.026
round_number,2.0,z_plus_renorm,0.001,500,0.0
round_number,2.0,breadth,0.05,500,0.016
round_number,2.0,breadth,0.01,500,0.016
round_number,2.0,breadth,0.001,500,0.0
round_number,2.0,z_mahalanobis_sq,0.05,500,0.156
round_number,2.0,z_mahalanobis_sq,0.01,500,0.014
round_number,2.0,z_mahalanobis_sq,0.001,500,0.0
round_number,2.0,t_iut,0.05,500,0.116
round_number,2.0,t_iut,0.01,500,0.022
round_number,2.0,t_iut,0.001,500,0.006
round_number,2.0,z_plus_softmax,0.05,500,0.168
round_number,2.0,z_plus_softmax,0.01,500,0.168
round_number,2.0,z_plus_softmax,0.001,500,0.168
round_number,2.0,z_plus_orth,0.05,500,0.168
round_number,2.0,z_plus_orth,0.01,500,0.168
round_number,2.0,z_plus_orth,0.001,500,0.168
round_number,3.0,z_plus,0.05,500,0.35
round_number,3.0,z_plus,0.01,500,0.068
round_number,3.0,z_plus,0.001,500,0.0
round_number,3.0,z_plus_renorm,0.05,500,0.158
round_number,3.0,z_plus_renorm,0.01,500,0.046
round_number,3.0,z_plus_renorm,0.001,500,0.0
round_number,3.0,breadth,0.05,500,0.028
round_number,3.0,breadth,0.01,500,0.028
round_number,3.0,breadth,0.001,500,0.0
round_number,3.0,z_mahalanobis_sq,0.05,500,0.23
round_number,3.0,z_mahalanobis_sq,0.01,500,0.014
round_number,3.0,z_mahalanobis_sq,0.001,500,0.0
round_number,3.0,t_iut,0.05,500,0.156
round_number,3.0,t_iut,0.01,500,0.036
round_number,3.0,t_iut,0.001,500,0.004
round_number,3.0,z_plus_softmax,0.05,500,0.19
