archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,3.0,z_plus,0.001,500,0.016
threshold_clustering,3.0,z_plus_renorm,0.05,500,0.112
threshold_clustering,3.0,z_plus_renorm,0.01,500,0.014
threshold_clustering,3.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,3.0,breadth,0.05,500,0.056
threshold_clustering,3.0,breadth,0.01,500,0.0
threshold_clustering,3.0,breadth,0.001,500,0.0
threshold_clustering,3.0,z_mahalanobis_sq,0.05,500,0.61
threshold_clustering,3.0,z_mahalanobis_sq,0.01,500,0.066
threshold_clustering,3.0,z_mahalanobis_sq,0.001,500,0.008
threshold_clustering,3.0,t_iut,0.05,500,0.134
threshold_clustering,3.0,t_iut,0.01,500,0.042
threshold_clustering,3.0,t_iut,0.001,500,0.02
threshold_clustering,3.0,z_plus_softmax,0.05,500,0.008
threshold_clustering,3.0,z_plus_softmax,0.01,500,0.008
threshold_clustering,3.0,z_plus_softmax,0.001,500,0.008
threshold_clustering,3.0,z_plus_orth,0.05,500,0.008
threshold_clustering,3.0,z_plus_orth,0.01,500,0.008
threshold_clustering,3.0,z_plus_orth,0.001,500,0.008
round_number,0.5,z_plus,0.05,500,0.064
round_number,0.5,z_plus,0.01,500,0.024
round_number,0.5,z_plus,0.001,500,0.01
round_number,0.5,z_plus_renorm,0.05,498,0.0481927710843373
round_number,0.5,z_plus_renorm,0.01,498,0.0180722891566265
round_number,0.5,z_plus_renorm,0.001,498,0.0
round_number,0.5,breadth,0.05,500,0.01
round_number,0.5,breadth,0.01,500,0.0
round_number,0.5,breadth,0.001,500,0.0
round_number,0.5,z_mahalanobis_sq,0.05,500,0.062
round_number,0.5,z_mahalanobis_sq,0.01,500,0.012
round_number,0.5,z_mahalanobis_sq,0.001,500,0.0
round_number,0.5,t_iut,0.05,500,0.074
round_number,0.5,t_iut,0.01,500,0.01
round_number,0.5,t_iut,0.001,500,0.0
round_number,0.5,z_plus_softmax,0.05,498,0.0863453815261044
round_number,0.5,z_plus_softmax,0.01,498,0.0803212851405622
round_number,0.5,z_plus_softmax,0.001,498,0.0803212851405622
round_number,0.5,z_plus_orth,0.05,498,0.0903614457831325
round_number,0.5,z_plus_orth,0.01,498,0.0803212851405622
round_number,0.5,z_plus_orth,0.001,498,0.0803212851405622
round_number,1.0,z_plus,0.05,500,0.08
round_number,1.0,z_plus,0.01,500,0.012
round_number,1.0,z_plus,0.001,500,0.004
round_number,1.0,z_plus_renorm,0.05,500,0.04
round_number,1.0,z_plus_renorm,0.01,500,0.006
round_number,1.0,z_plus_renorm,0.001,500,0.0
round_number,1.0,breadth,0.05,500,0.008
round_number,1.0,breadth,0.01,500,0.0
round_number,1.0,breadth,0.001,500,0.0
round_number,1.0,z_mahalanobis_sq,0.05,500,0.06
round_number,1.0,z_mahalanobis_sq,0.01,500,0.012
round_number,1.0,z_mahalanobis_sq,0.001,500,0.002
round_number,1.0,t_iut,0.05,500,0.092
round_number,1.0,t_iut,0.01,500,0.002
round_number,1.0,t_iut,0.001,500,0.0
round_number,1.0,z_plus_softmax,0.05,500,0.07
round_number,1.0,z_plus_softmax,0.01,500,0.052
round_number,1.0,z_plus_softmax,0.001,500,0.052
round_number,1.0,z_plus_orth,0.05,500,0.066
round_number,1.0,z_plus_orth,0.01,500,0.06
round_number,1.0,z_plus_orth,0.001,500,0.056
round_number,1.5,z_plus,0.05,500,0.128
round_number,1.5,z_plus,0.01,500,0.032
round_number,1.5,z_plus,0.001,500,0.004
round_number,1.5,z_plus_renorm,0.05,500,0.058
round_number,1.5,z_plus_renorm,0.01,500,0.004
round_number,1.5,z_plus_renorm,0.001,500,0.0
round_number,1.5,breadth,0.05,500,0.024
round_number,1.5,breadth,0.01,500,0.0
round_number,1.5,breadth,0.001,500,0.0
round_number,1.5,z_mahalanobis_sq,0.05,500,0.05
round_number,1.5,z_mahalanobis_sq,0.01,500,0.01
round_number,1.5,z_mahalanobis_sq,0.001,500,0.0
round_number,1.5,t_iut,0.05,500,0.106
round_number,1.5,t_iut,0.01,500,0.022
round_number,1.5,t_iut,0.001,500,0.006
round_number,1.5,z_plus_softmax,0.05,500,0.074
round_number,1.5,z_plus_softmax,0.01,500,0.07
round_number,1.5,z_plus_softmax,0.001,500,0.07
round_number,1.5,z_plus_orth,0.05,500,0.076
round_number,1.5,z_plus_orth,0.01,500,0.072
round_number,1.5,z_plus_orth,0.001,500,0.072
round_number,2.0,z_plus,0.05,500,0.166
round_number,2.0,z_plus,0.01,500,0.046
round_number,2.0,z_plus,0.001,500,0.01
round_number,2.0,z_plus_renorm,0.05,500,0.074
round_number,2.0,z_plus_renorm,0.01,500,0.0
round_number,2.0,z_plus_renorm,0.001,500,0.0
round_number,2.0,breadth,0.05,500,0.024
round_number,2.0,breadth,0.01,500,0.0
round_number,2.0,breadth,0.001,500,0.0
round_number,2.0,z_mahalanobis_sq,0.05,500,0.042
round_number,2.0,z_mahalanobis_sq,0.01,500,0.014
round_number,2.0,z_mahalanobis_sq,0.001,500,0.0
round_number,2.0,t_iut,0.05,500,0.11
round_number,2.0,t_iut,0.01,500,0.022
round_number,2.0,t_iut,0.001,500,0.004
round_number,2.0,z_plus_softmax,0.05,500,0.072
round_number,2.0,z_plus_softmax,0.01,500,0.068
round_number,2.0,z_plus_softmax,0.001,500,0.068
round_number,2.0,z_plus_orth,0.05,500,0.076
round_number,2.0,z_plus_orth,0.01,500,0.068
round_number,2.0,z_plus_orth,0.001,500,0.068
round_number,3.0,z_plus,0.05,500,0.294
round_number,3.0,z_plus,0.01,500,0.118
round_number,3.0,z_plus,0.001,500,0.02
round_number,3.0,z_plus_renorm,0.05,500,0.146
round_number,3.0,z_plus_renorm,0.01,500,0.022
round_number,3.0,z_plus_renorm,0.001,500,0.0
round_number,3.0,breadth,0.05,500,0.032
round_number,3.0,breadth,0.01,500,0.0
round_number,3.0,breadth,0.001,500,0.0
round_number,3.0,z_mahalanobis_sq,0.05,500,0.124
round_number,3.0,z_mahalanobis_sq,0.01,500,0.038
round_number,3.0,z_mahalanobis_sq,0.001,500,0.004
round_number,3.0,t_iut,0.05,500,0.148
round_number,3.0,t_iut,0.01,500,0.03
round_number,3.0,t_iut,0.001,500,0.012
round_number,3.0,z_plus_softmax,0.05,500,0.11
round_number,3.0,z_plus_softmax,0.01,500,0.108
round_number,3.0,z_plus_softmax,0.001,500,0.108
round_number,3.0,z_plus_orth,0.05,500,0.112
round_number,3.0,z_plus_orth,0.01,500,0.11
round_number,3.0,z_plus_orth,0.001,500,0.11
temporal_smoothing,0.5,z_plus,0.05,500,0.042
temporal_smoothing,0.5,z_plus,0.01,500,0.002
temporal_smoothing,0.5,z_plus,0.001,500,0.0
temporal_smoothing,0.5,z_plus_renorm,0.05,496,0.0403225806451612
temporal_smoothing,0.5,z_plus_renorm,0.01,496,0.002016129032258
temporal_smoothing,0.5,z_plus_renorm,0.001,496,0.0
temporal_smoothing,0.5,breadth,0.05,500,0.012
temporal_smoothing,0.5,breadth,0.01,500,0.0
temporal_smoothing,0.5,breadth,0.001,500,0.0
temporal_smoothing,0.5,z_mahalanobis_sq,0.05,500,0.044
temporal_smoothing,0.5,z_mahalanobis_sq,0.01,500,0.004
temporal_smoothing,0.5,z_mahalanobis_sq,0.001,500,0.0
temporal_smoothing,0.5,t_iut,0.05,500,0.064
temporal_smoothing,0.5,t_iut,0.01,500,0.008
temporal_smoothing,0.5,t_iut,0.001,500,0.002
temporal_smoothing,0.5,z_plus_softmax,0.05,496,0.189516129032258
temporal_smoothing,0.5,z_plus_softmax,0.01,496,0.1733870967741935
temporal_smoothing,0.5,z_plus_softmax,0.001,496,0.1733870967741935
temporal_smoothing,0.5,z_plus_orth,0.05,496,0.1995967741935483
temporal_smoothing,0.5,z_plus_orth,0.01,496,0.1733870967741935
temporal_smoothing,0.5,z_plus_orth,0.001,496,0.1733870967741935
temporal_smoothing,1.0,z_plus,0.05,500,0.064
temporal_smoothing,1.0,z_plus,0.01,500,0.012
temporal_smoothing,1.0,z_plus,0.001,500,0.004
temporal_smoothing,1.0,z_plus_renorm,0.05,500,0.076
temporal_smoothing,1.0,z_plus_renorm,0.01,500,0.028
temporal_smoothing,1.0,z_plus_renorm,0.001,500,0.004
temporal_smoothing,1.0,breadth,0.05,500,0.01
temporal_smoothing,1.0,breadth,0.01,500,0.0
temporal_smoothing,1.0,breadth,0.001,500,0.0
temporal_smoothing,1.0,z_mahalanobis_sq,0.05,500,0.044
temporal_smoothing,1.0,z_mahalanobis_sq,0.01,500,0.014
temporal_smoothing,1.0,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,1.0,t_iut,0.05,500,0.05
temporal_smoothing,1.0,t_iut,0.01,500,0.01
temporal_smoothing,1.0,t_iut,0.001,500,0.0
temporal_smoothing,1.0,z_plus_softmax,0.05,500,0.214
temporal_smoothing,1.0,z_plus_softmax,0.01,500,0.206
temporal_smoothing,1.0,z_plus_softmax,0.001,500,0.204
temporal_smoothing,1.0,z_plus_orth,0.05,500,0.214
temporal_smoothing,1.0,z_plus_orth,0.01,500,0.204
temporal_smoothing,1.0,z_plus_orth,0.001,500,0.204
temporal_smoothing,1.5,z_plus,0.05,500,0.08
temporal_smoothing,1.5,z_plus,0.01,500,0.024
temporal_smoothing,1.5,z_plus,0.001,500,0.008
temporal_smoothing,1.5,z_plus_renorm,0.05,500,0.08
temporal_smoothing,1.5,z_plus_renorm,0.01,500,0.022
temporal_smoothing,1.5,z_plus_renorm,0.001,500,0.0
temporal_smoothing,1.5,breadth,0.05,500,0.018
temporal_smoothing,1.5,breadth,0.01,500,0.0
temporal_smoothing,1.5,breadth,0.001,500,0.0
temporal_smoothing,1.5,z_mahalanobis_sq,0.05,500,0.064
temporal_smoothing,1.5,z_mahalanobis_sq,0.01,500,0.01
temporal_smoothing,1.5,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,1.5,t_iut,0.05,500,0.072
temporal_smoothing,1.5,t_iut,0.01,500,0.016
temporal_smoothing,1.5,t_iut,0.001,500,0.002
temporal_smoothing,1.5,z_plus_softmax,0.05,500,0.236
temporal_smoothing,1.5,z_plus_softmax,0.01,500,0.22
temporal_smoothing,1.5,z_plus_softmax,0.001,500,0.22
temporal_smoothing,1.5,z_plus_orth,0.05,500,0.224
temporal_smoothing,1.5,z_plus_orth,0.01,500,0.22
temporal_smoothing,1.5,z_plus_orth,0.001,500,0.22
temporal_smoothing,2.0,z_plus,0.05,500,0.114
temporal_smoothing,2.0,z_plus,0.01,500,0.024
temporal_smoothing,2.0,z_plus,0.001,500,0.01
temporal_smoothing,2.0,z_plus_renorm,0.05,500,0.094
temporal_smoothing,2.0,z_plus_renorm,0.01,500,0.018
temporal_smoothing,2.0,z_plus_renorm,0.001,500,0.0
temporal_smoothing,2.0,breadth,0.05,500,0.022
temporal_smoothing,2.0,breadth,0.01,500,0.0
temporal_smoothing,2.0,breadth,0.001,500,0.0
temporal_smoothing,2.0,z_mahalanobis_sq,0.05,500,0.074
temporal_smoothing,2.0,z_mahalanobis_sq,0.01,500,0.014
temporal_smoothing,2.0,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,2.0,t_iut,0.05,500,0.082
temporal_smoothing,2.0,t_iut,0.01,500,0.008
temporal_smoothing,2.0,t_iut,0.001,500,0.002
temporal_smoothing,2.0,z_plus_softmax,0.05,500,0.216
temporal_smoothing,2.0,z_plus_softmax,0.01,500,0.212
temporal_smoothing,2.0,z_plus_softmax,0.001,500,0.212
temporal_smoothing,2.0,z_plus_orth,0.05,500,0.216
temporal_smoothing,2.0,z_plus_orth,0.01,500,0.212
temporal_smoothing,2.0,z_plus_orth,0.001,500,0.212
temporal_smoothing,3.0,z_plus,0.05,500,0.126
temporal_smoothing,3.0,z_plus,0.01,500,0.03
temporal_smoothing,3.0,z_plus,0.001,500,0.006
temporal_smoothing,3.0,z_plus_renorm,0.05,500,0.178
temporal_smoothing,3.0,z_plus_renorm,0.01,500,0.042
temporal_smoothing,3.0,z_plus_renorm,0.001,500,0.006
temporal_smoothing,3.0,breadth,0.05,500,0.01
temporal_smoothing,3.0,breadth,0.01,500,0.0
temporal_smoothing,3.0,breadth,0.001,500,0.0
temporal_smoothing,3.0,z_mahalanobis_sq,0.05,500,0.088
temporal_smoothing,3.0,z_mahalanobis_sq,0.01,500,0.01
temporal_smoothing,3.0,z_mahalanobis_sq,0.001,500,0.004
temporal_smoothing,3.0,t_iut,0.05,500,0.058
temporal_smoothing,3.0,t_iut,0.01,500,0.008
temporal_smoothing,3.0,t_iut,0.001,500,0.002
temporal_smoothing,3.0,z_plus_softmax,0.05,500,0.268
temporal_smoothing,3.0,z_plus_softmax,0.01,500,0.264
temporal_smoothing,3.0,z_plus_softmax,0.001,500,0.264
temporal_smoothing,3.0,z_plus_orth,0.05,500,0.264
temporal_smoothing,3.0,z_plus_orth,0.01,500,0.264
temporal_smoothing,3.0,z_plus_orth,0.001,500,0.264
peer_gaming,0.5,z_plus,0.05,500,0.076
peer_gaming,0.5,z_plus,0.01,500,0.016
peer_gaming,0.5,z_plus,0.001,500,0.004
peer_gaming,0.5,z_plus_renorm,0.05,500,0.04
peer_gaming,0.5,z_plus_renorm,0.01,500,0.0
peer_gaming,0.5,z_plus_renorm,0.001,500,0.0
peer_gaming,0.5,breadth,0.05,500,0.024
peer_gaming,0.5,breadth,0.01,500,0.0
peer_gaming,0.5,breadth,0.001,500,0.0
peer_gaming,0.5,z_mahalanobis_sq,0.05,500,0.052
peer_gaming,0.5,z_mahalanobis_sq,0.01,500,0.01
peer_gaming,0.5,z_mahalanobis_sq,0.001,500,0.006
peer_gaming,0.5,t_iut,0.05,500,0.1
peer_gaming,0.5,t_iut,0.01,500,0.014
peer_gaming,0.5,t_iut,0.001,500,0.002
peer_gaming,0.5,z_plus_softmax,0.05,500,0.044
peer_gaming,0.5,z_plus_softmax,0.01,500,0.02
peer_gaming,0.5,z_plus_softmax,0.001,500,0.02
peer_gaming,0.5,z_plus_orth,0.05,500,0.04
peer_gaming,0.5,z_plus_orth,0.01,500,0.02
peer_gaming,0.5,z_plus_orth,0.001,500,0.02
peer_gaming,1.0,z_plus,0.05,500,0.094
peer_gaming,1.0,z_plus,0.01,500,0.018
peer_gaming,1.0,z_plus,0.001,500,0.01
peer_gaming,1.0,z_plus_renorm,0.05,500,0.028
peer_gaming,1.0,z_plus_renorm,0.01,500,0.002
peer_gaming,1.0,z_plus_renorm,0.001,500,0.0
peer_gaming,1.0,breadth,0.05,500,0.048
peer_gaming,1.0,breadth,0.01,500,0.0
peer_gaming,1.0,breadth,0.001,500,0.0
peer_gaming,1.0,z_mahalanobis_sq,0.05,500,0.066
peer_gaming,1.0,z_mahalanobis_sq,0.01,500,0.02
peer_gaming,1.0,z_mahalanobis_sq,0.001,500,0.004
peer_gaming,1.0,t_iut,0.05,500,0.124
peer_gaming,1.0,t_iut,0.01,500,0.04
peer_gaming,1.0,t_iut,0.001,500,0.012
peer_gaming,1.0,z_plus_softmax,0.05,500,0.022
peer_gaming,1.0,z_plus_softmax,0.01,500,0.02
peer_gaming,1.0,z_plus_softmax,0.001,500,0.02
peer_gaming,1.0,z_plus_orth,0.05,500,0.024
peer_gaming,1.0,z_plus_orth,0.01,500,0.02
peer_gaming,1.0,z_plus_orth,0.001,500,0.02
peer_gaming,1.5,z_plus,0.05,500,0.178
peer_gaming,1.5,z_plus,0.01,500,0.054
peer_gaming,1.5,z_plus,0.001,500,0.014
peer_gaming,1.5,z_plus_renorm,0.05,500,0.034
peer_gaming,1.5,z_plus_renorm,0.01,500,0.0
peer_gaming,1.5,z_plus_renorm,0.001,500,0.0
peer_gaming,1.5,breadth,0.05,500,0.082
peer_gaming,1.5,breadth,0.01,500,0.0
peer_gaming,1.5,breadth,0.001,500,0.0
