archetype,delta,detector,alpha,n_finite,flag_rate
temporal_smoothing,0.5,z2,0.01,500,0.138
temporal_smoothing,0.5,z2,0.001,500,0.094
temporal_smoothing,0.5,z3,0.05,500,0.042
temporal_smoothing,0.5,z3,0.01,500,0.014
temporal_smoothing,0.5,z3,0.001,500,0.0
temporal_smoothing,0.5,z4,0.05,500,0.042
temporal_smoothing,0.5,z4,0.01,500,0.008
temporal_smoothing,0.5,z4,0.001,500,0.002
temporal_smoothing,0.5,z6,0.05,500,0.544
temporal_smoothing,0.5,z6,0.01,500,0.424
temporal_smoothing,0.5,z6,0.001,500,0.35
temporal_smoothing,0.5,z8,0.05,500,0.042
temporal_smoothing,0.5,z8,0.01,500,0.008
temporal_smoothing,0.5,z8,0.001,500,0.002
temporal_smoothing,0.5,z57,0.05,500,0.034
temporal_smoothing,0.5,z57,0.01,500,0.022
temporal_smoothing,0.5,z57,0.001,500,0.022
temporal_smoothing,1.0,z1,0.05,500,0.026
temporal_smoothing,1.0,z1,0.01,500,0.026
temporal_smoothing,1.0,z1,0.001,500,0.026
temporal_smoothing,1.0,z2,0.05,500,0.222
temporal_smoothing,1.0,z2,0.01,500,0.154
temporal_smoothing,1.0,z2,0.001,500,0.102
temporal_smoothing,1.0,z3,0.05,500,0.046
temporal_smoothing,1.0,z3,0.01,500,0.008
temporal_smoothing,1.0,z3,0.001,500,0.002
temporal_smoothing,1.0,z4,0.05,500,0.038
temporal_smoothing,1.0,z4,0.01,500,0.004
temporal_smoothing,1.0,z4,0.001,500,0.002
temporal_smoothing,1.0,z6,0.05,500,0.58
temporal_smoothing,1.0,z6,0.01,500,0.454
temporal_smoothing,1.0,z6,0.001,500,0.348
temporal_smoothing,1.0,z8,0.05,500,0.048
temporal_smoothing,1.0,z8,0.01,500,0.01
temporal_smoothing,1.0,z8,0.001,500,0.002
temporal_smoothing,1.0,z57,0.05,500,0.044
temporal_smoothing,1.0,z57,0.01,500,0.018
temporal_smoothing,1.0,z57,0.001,500,0.018
temporal_smoothing,1.5,z1,0.05,500,0.03
temporal_smoothing,1.5,z1,0.01,500,0.03
temporal_smoothing,1.5,z1,0.001,500,0.03
temporal_smoothing,1.5,z2,0.05,500,0.208
temporal_smoothing,1.5,z2,0.01,500,0.144
temporal_smoothing,1.5,z2,0.001,500,0.086
temporal_smoothing,1.5,z3,0.05,500,0.052
temporal_smoothing,1.5,z3,0.01,500,0.022
temporal_smoothing,1.5,z3,0.001,500,0.002
temporal_smoothing,1.5,z4,0.05,500,0.03
temporal_smoothing,1.5,z4,0.01,500,0.0
temporal_smoothing,1.5,z4,0.001,500,0.0
temporal_smoothing,1.5,z6,0.05,500,0.75
temporal_smoothing,1.5,z6,0.01,500,0.594
temporal_smoothing,1.5,z6,0.001,500,0.444
temporal_smoothing,1.5,z8,0.05,500,0.052
temporal_smoothing,1.5,z8,0.01,500,0.008
temporal_smoothing,1.5,z8,0.001,500,0.002
temporal_smoothing,1.5,z57,0.05,500,0.04
temporal_smoothing,1.5,z57,0.01,500,0.022
temporal_smoothing,1.5,z57,0.001,500,0.022
temporal_smoothing,2.0,z1,0.05,500,0.024
temporal_smoothing,2.0,z1,0.01,500,0.024
temporal_smoothing,2.0,z1,0.001,500,0.024
temporal_smoothing,2.0,z2,0.05,500,0.22
temporal_smoothing,2.0,z2,0.01,500,0.156
temporal_smoothing,2.0,z2,0.001,500,0.11
temporal_smoothing,2.0,z3,0.05,500,0.046
temporal_smoothing,2.0,z3,0.01,500,0.012
temporal_smoothing,2.0,z3,0.001,500,0.004
temporal_smoothing,2.0,z4,0.05,500,0.038
temporal_smoothing,2.0,z4,0.01,500,0.0
temporal_smoothing,2.0,z4,0.001,500,0.0
temporal_smoothing,2.0,z6,0.05,500,0.792
temporal_smoothing,2.0,z6,0.01,500,0.688
temporal_smoothing,2.0,z6,0.001,500,0.568
temporal_smoothing,2.0,z8,0.05,500,0.062
temporal_smoothing,2.0,z8,0.01,500,0.012
temporal_smoothing,2.0,z8,0.001,500,0.0
temporal_smoothing,2.0,z57,0.05,500,0.042
temporal_smoothing,2.0,z57,0.01,500,0.03
temporal_smoothing,2.0,z57,0.001,500,0.03
temporal_smoothing,3.0,z1,0.05,500,0.026
temporal_smoothing,3.0,z1,0.01,500,0.026
temporal_smoothing,3.0,z1,0.001,500,0.026
temporal_smoothing,3.0,z2,0.05,500,0.234
temporal_smoothing,3.0,z2,0.01,500,0.16
temporal_smoothing,3.0,z2,0.001,500,0.108
temporal_smoothing,3.0,z3,0.05,500,0.036
temporal_smoothing,3.0,z3,0.01,500,0.01
temporal_smoothing,3.0,z3,0.001,500,0.0
temporal_smoothing,3.0,z4,0.05,500,0.034
temporal_smoothing,3.0,z4,0.01,500,0.006
temporal_smoothing,3.0,z4,0.001,500,0.004
temporal_smoothing,3.0,z6,0.05,500,0.93
temporal_smoothing,3.0,z6,0.01,500,0.846
temporal_smoothing,3.0,z6,0.001,500,0.714
temporal_smoothing,3.0,z8,0.05,500,0.042
temporal_smoothing,3.0,z8,0.01,500,0.006
temporal_smoothing,3.0,z8,0.001,500,0.0
temporal_smoothing,3.0,z57,0.05,500,0.034
temporal_smoothing,3.0,z57,0.01,500,0.014
