facet,value,detector,n,mean,std
sector,Consumer Discretionary,z4,261,0.2271785969712814,0.977629359901597
sector,Consumer Discretionary,z6,261,1.8935722887018849,2.506791570901329
sector,Consumer Discretionary,z8,178,-0.0367752610155459,0.970687988317649
sector,Consumer Discretionary,z57,261,0.0755002191114157,1.1874899538553978
sector,Consumer Staples,z1,131,-0.0686058876093091,1.695936846773113
sector,Consumer Staples,z2,131,0.6165931930631385,2.496656063339085
sector,Consumer Staples,z3,131,-0.134047883016185,1.228162413216389
sector,Consumer Staples,z4,131,0.0003600252776124,0.9700773275470692
sector,Consumer Staples,z6,131,1.6806046800924317,2.224042829427744
sector,Consumer Staples,z8,95,0.322618350652338,0.964387178120939
sector,Consumer Staples,z57,131,-0.139342586643462,1.4293042494452497
sector,Energy,z1,34,-0.0064367248306602,0.9957266676302752
sector,Energy,z2,34,-0.0645027714478892,2.124224563278002
sector,Energy,z3,34,-0.2741917774089302,0.8728432317478269
sector,Energy,z4,34,-0.0441604821139185,0.909405237085028
sector,Energy,z6,34,1.2166652438014345,2.577389210150237
sector,Energy,z57,34,0.4901394999172558,1.1306080984901186
sector,Health Care,z1,59,0.4104369387129764,2.11188335136625
sector,Health Care,z2,59,0.3646125414185406,2.2503569241346697
sector,Health Care,z3,59,-0.0259276467336745,0.9882814574231428
sector,Health Care,z4,59,-0.6663310812441313,0.6957815728534039
sector,Health Care,z6,59,1.8403892107780344,2.467857577029984
sector,Health Care,z8,37,-0.1186684528526777,0.9691527460175864
sector,Health Care,z57,59,0.2497552195361817,1.0288244578771104
sector,Industrials,z1,88,0.5483840372723904,1.696874693372789
sector,Industrials,z2,88,0.1040062852040652,2.886015772557653
sector,Industrials,z3,88,0.0881360924436846,0.9326497260365252
sector,Industrials,z4,88,-0.1926631358144754,0.9101811500044632
sector,Industrials,z6,88,1.5036309946381514,2.3970336241656387
sector,Industrials,z8,54,-0.2862642028268917,0.9024887647486166
sector,Industrials,z57,88,0.0492044294592519,1.2840491590105163
sector,Materials,z1,241,0.1176932003293318,1.429126966062903
sector,Materials,z2,241,0.1296574186681531,2.4945090666080523
sector,Materials,z3,241,0.0827011438157711,0.8514584454420691
sector,Materials,z4,241,-0.3710363824573421,0.9363980817014826
sector,Materials,z6,240,1.89966559205575,2.5923923924213272
sector,Materials,z8,184,-0.0307777020117613,0.9395232529381214
sector,Materials,z57,241,0.1520721126106362,1.301508404128216
sector,Utilities,z1,31,0.2478638070583424,0.9264085575404644
sector,Utilities,z2,31,0.4181969400723139,2.814194288563037
sector,Utilities,z3,31,0.1252223073221829,0.8565911138413599
sector,Utilities,z4,31,-0.997986730721232,0.9622042970717553
sector,Utilities,z6,31,0.6991076030754849,2.3336522999799585
sector,Utilities,z57,31,0.1317144445849968,1.06377643113397
