archetype,delta,detector,alpha,n_finite,flag_rate
threshold_clustering,3.0,z57,0.01,500,0.808
threshold_clustering,3.0,z57,0.001,500,0.492
round_number,0.5,z1,0.05,500,0.106
round_number,0.5,z1,0.01,500,0.04
round_number,0.5,z1,0.001,500,0.04
round_number,0.5,z2,0.05,500,0.312
round_number,0.5,z2,0.01,500,0.206
round_number,0.5,z2,0.001,500,0.134
round_number,0.5,z3,0.05,500,0.03
round_number,0.5,z3,0.01,500,0.004
round_number,0.5,z3,0.001,500,0.0
round_number,0.5,z4,0.05,500,0.036
round_number,0.5,z4,0.01,500,0.006
round_number,0.5,z4,0.001,500,0.0
round_number,0.5,z6,0.05,500,0.258
round_number,0.5,z6,0.01,500,0.186
round_number,0.5,z6,0.001,500,0.134
round_number,0.5,z8,0.05,500,0.044
round_number,0.5,z8,0.01,500,0.012
round_number,0.5,z8,0.001,500,0.0
round_number,0.5,z57,0.05,500,0.036
round_number,0.5,z57,0.01,500,0.016
round_number,0.5,z57,0.001,500,0.016
round_number,1.0,z1,0.05,500,0.288
round_number,1.0,z1,0.01,500,0.088
round_number,1.0,z1,0.001,500,0.044
round_number,1.0,z2,0.05,500,0.39
round_number,1.0,z2,0.01,500,0.286
round_number,1.0,z2,0.001,500,0.196
round_number,1.0,z3,0.05,500,0.03
round_number,1.0,z3,0.01,500,0.004
round_number,1.0,z3,0.001,500,0.0
round_number,1.0,z4,0.05,500,0.058
round_number,1.0,z4,0.01,500,0.008
round_number,1.0,z4,0.001,500,0.0
round_number,1.0,z6,0.05,500,0.306
round_number,1.0,z6,0.01,500,0.222
round_number,1.0,z6,0.001,500,0.15
round_number,1.0,z8,0.05,500,0.034
round_number,1.0,z8,0.01,500,0.004
round_number,1.0,z8,0.001,500,0.002
round_number,1.0,z57,0.05,500,0.038
round_number,1.0,z57,0.01,500,0.002
round_number,1.0,z57,0.001,500,0.002
round_number,1.5,z1,0.05,500,0.41
round_number,1.5,z1,0.01,500,0.19
round_number,1.5,z1,0.001,500,0.044
round_number,1.5,z2,0.05,500,0.456
round_number,1.5,z2,0.01,500,0.338
round_number,1.5,z2,0.001,500,0.224
round_number,1.5,z3,0.05,500,0.038
round_number,1.5,z3,0.01,500,0.006
round_number,1.5,z3,0.001,500,0.0
round_number,1.5,z4,0.05,500,0.04
round_number,1.5,z4,0.01,500,0.012
round_number,1.5,z4,0.001,500,0.002
round_number,1.5,z6,0.05,500,0.336
round_number,1.5,z6,0.01,500,0.252
round_number,1.5,z6,0.001,500,0.174
round_number,1.5,z8,0.05,500,0.036
round_number,1.5,z8,0.01,500,0.006
round_number,1.5,z8,0.001,500,0.0
round_number,1.5,z57,0.05,500,0.036
round_number,1.5,z57,0.01,500,0.01
round_number,1.5,z57,0.001,500,0.01
round_number,2.0,z1,0.05,500,0.614
round_number,2.0,z1,0.01,500,0.374
round_number,2.0,z1,0.001,500,0.13
round_number,2.0,z2,0.05,500,0.5
round_number,2.0,z2,0.01,500,0.394
round_number,2.0,z2,0.001,500,0.304
round_number,2.0,z3,0.05,500,0.04
round_number,2.0,z3,0.01,500,0.004
round_number,2.0,z3,0.001,500,0.0
round_number,2.0,z4,0.05,500,0.03
round_number,2.0,z4,0.01,500,0.006
round_number,2.0,z4,0.001,500,0.002
round_number,2.0,z6,0.05,500,0.324
round_number,2.0,z6,0.01,500,0.24
round_number,2.0,z6,0.001,500,0.16
round_number,2.0,z8,0.05,500,0.058
round_number,2.0,z8,0.01,500,0.008
round_number,2.0,z8,0.001,500,0.0
round_number,2.0,z57,0.05,500,0.042
round_number,2.0,z57,0.01,500,0.014
round_number,2.0,z57,0.001,500,0.014
round_number,3.0,z1,0.05,500,0.898
round_number,3.0,z1,0.01,500,0.762
round_number,3.0,z1,0.001,500,0.442
round_number,3.0,z2,0.05,500,0.704
round_number,3.0,z2,0.01,500,0.588
round_number,3.0,z2,0.001,500,0.486
round_number,3.0,z3,0.05,500,0.038
round_number,3.0,z3,0.01,500,0.01
round_number,3.0,z3,0.001,500,0.002
round_number,3.0,z4,0.05,500,0.048
round_number,3.0,z4,0.01,500,0.012
round_number,3.0,z4,0.001,500,0.002
round_number,3.0,z6,0.05,500,0.304
round_number,3.0,z6,0.01,500,0.214
round_number,3.0,z6,0.001,500,0.158
round_number,3.0,z8,0.05,500,0.05
round_number,3.0,z8,0.01,500,0.01
round_number,3.0,z8,0.001,500,0.0
round_number,3.0,z57,0.05,500,0.042
round_number,3.0,z57,0.01,500,0.014
round_number,3.0,z57,0.001,500,0.014
temporal_smoothing,0.5,z1,0.05,500,0.038
temporal_smoothing,0.5,z1,0.01,500,0.038
temporal_smoothing,0.5,z1,0.001,500,0.038
temporal_smoothing,0.5,z2,0.05,500,0.242
temporal_smoothing,0.5,z2,0.01,500,0.176
temporal_smoothing,0.5,z2,0.001,500,0.098
temporal_smoothing,0.5,z3,0.05,500,0.038
temporal_smoothing,0.5,z3,0.01,500,0.004
temporal_smoothing,0.5,z3,0.001,500,0.002
temporal_smoothing,0.5,z4,0.05,500,0.058
temporal_smoothing,0.5,z4,0.01,500,0.01
temporal_smoothing,0.5,z4,0.001,500,0.002
temporal_smoothing,0.5,z6,0.05,500,0.384
temporal_smoothing,0.5,z6,0.01,500,0.286
temporal_smoothing,0.5,z6,0.001,500,0.232
temporal_smoothing,0.5,z8,0.05,500,0.038
temporal_smoothing,0.5,z8,0.01,500,0.01
temporal_smoothing,0.5,z8,0.001,500,0.0
temporal_smoothing,0.5,z57,0.05,500,0.034
temporal_smoothing,0.5,z57,0.01,500,0.014
temporal_smoothing,0.5,z57,0.001,500,0.014
temporal_smoothing,1.0,z1,0.05,500,0.066
temporal_smoothing,1.0,z1,0.01,500,0.066
temporal_smoothing,1.0,z1,0.001,500,0.066
temporal_smoothing,1.0,z2,0.05,500,0.234
temporal_smoothing,1.0,z2,0.01,500,0.176
temporal_smoothing,1.0,z2,0.001,500,0.11
temporal_smoothing,1.0,z3,0.05,500,0.032
temporal_smoothing,1.0,z3,0.01,500,0.002
temporal_smoothing,1.0,z3,0.001,500,0.0
temporal_smoothing,1.0,z4,0.05,500,0.052
temporal_smoothing,1.0,z4,0.01,500,0.012
temporal_smoothing,1.0,z4,0.001,500,0.004
temporal_smoothing,1.0,z6,0.05,500,0.456
temporal_smoothing,1.0,z6,0.01,500,0.34
temporal_smoothing,1.0,z6,0.001,500,0.232
temporal_smoothing,1.0,z8,0.05,500,0.048
temporal_smoothing,1.0,z8,0.01,500,0.012
temporal_smoothing,1.0,z8,0.001,500,0.002
temporal_smoothing,1.0,z57,0.05,500,0.046
temporal_smoothing,1.0,z57,0.01,500,0.012
temporal_smoothing,1.0,z57,0.001,500,0.012
temporal_smoothing,1.5,z1,0.05,500,0.042
temporal_smoothing,1.5,z1,0.01,500,0.042
temporal_smoothing,1.5,z1,0.001,500,0.042
temporal_smoothing,1.5,z2,0.05,500,0.26
temporal_smoothing,1.5,z2,0.01,500,0.18
temporal_smoothing,1.5,z2,0.001,500,0.118
temporal_smoothing,1.5,z3,0.05,500,0.042
temporal_smoothing,1.5,z3,0.01,500,0.006
temporal_smoothing,1.5,z3,0.001,500,0.0
temporal_smoothing,1.5,z4,0.05,500,0.03
temporal_smoothing,1.5,z4,0.01,500,0.002
temporal_smoothing,1.5,z4,0.001,500,0.0
temporal_smoothing,1.5,z6,0.05,500,0.544
temporal_smoothing,1.5,z6,0.01,500,0.426
temporal_smoothing,1.5,z6,0.001,500,0.302
temporal_smoothing,1.5,z8,0.05,500,0.038
temporal_smoothing,1.5,z8,0.01,500,0.002
temporal_smoothing,1.5,z8,0.001,500,0.0
temporal_smoothing,1.5,z57,0.05,500,0.034
temporal_smoothing,1.5,z57,0.01,500,0.012
temporal_smoothing,1.5,z57,0.001,500,0.012
temporal_smoothing,2.0,z1,0.05,500,0.042
