archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,0.5,z_plus,0.05,500,0.064
temporal_smoothing,0.5,z_plus,0.01,500,0.008
temporal_smoothing,0.5,z_plus,0.001,500,0.004
temporal_smoothing,0.5,z_plus_renorm,0.05,496,0.0564516129032258
temporal_smoothing,0.5,z_plus_renorm,0.01,496,0.0100806451612903
temporal_smoothing,0.5,z_plus_renorm,0.001,496,0.0
temporal_smoothing,0.5,breadth,0.05,500,0.012
temporal_smoothing,0.5,breadth,0.01,500,0.0
temporal_smoothing,0.5,breadth,0.001,500,0.0
temporal_smoothing,0.5,z_mahalanobis_sq,0.05,500,0.062
temporal_smoothing,0.5,z_mahalanobis_sq,0.01,500,0.012
temporal_smoothing,0.5,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,0.5,t_iut,0.05,500,0.058
temporal_smoothing,0.5,t_iut,0.01,500,0.012
temporal_smoothing,0.5,t_iut,0.001,500,0.002
temporal_smoothing,0.5,z_plus_softmax,0.05,496,0.1108870967741935
temporal_smoothing,0.5,z_plus_softmax,0.01,496,0.094758064516129
temporal_smoothing,0.5,z_plus_softmax,0.001,496,0.0866935483870967
temporal_smoothing,0.5,z_plus_orth,0.05,496,0.1129032258064516
temporal_smoothing,0.5,z_plus_orth,0.01,496,0.094758064516129
temporal_smoothing,0.5,z_plus_orth,0.001,496,0.0907258064516129
temporal_smoothing,1.0,z_plus,0.05,500,0.07
temporal_smoothing,1.0,z_plus,0.01,500,0.02
temporal_smoothing,1.0,z_plus,0.001,500,0.006
temporal_smoothing,1.0,z_plus_renorm,0.05,500,0.068
temporal_smoothing,1.0,z_plus_renorm,0.01,500,0.014
temporal_smoothing,1.0,z_plus_renorm,0.001,500,0.0
temporal_smoothing,1.0,breadth,0.05,500,0.02
temporal_smoothing,1.0,breadth,0.01,500,0.0
temporal_smoothing,1.0,breadth,0.001,500,0.0
temporal_smoothing,1.0,z_mahalanobis_sq,0.05,500,0.086
temporal_smoothing,1.0,z_mahalanobis_sq,0.01,500,0.018
temporal_smoothing,1.0,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,1.0,t_iut,0.05,500,0.062
temporal_smoothing,1.0,t_iut,0.01,500,0.016
temporal_smoothing,1.0,t_iut,0.001,500,0.0
temporal_smoothing,1.0,z_plus_softmax,0.05,500,0.104
temporal_smoothing,1.0,z_plus_softmax,0.01,500,0.074
temporal_smoothing,1.0,z_plus_softmax,0.001,500,0.062
temporal_smoothing,1.0,z_plus_orth,0.05,500,0.1
temporal_smoothing,1.0,z_plus_orth,0.01,500,0.076
temporal_smoothing,1.0,z_plus_orth,0.001,500,0.062
temporal_smoothing,1.5,z_plus,0.05,500,0.086
temporal_smoothing,1.5,z_plus,0.01,500,0.014
temporal_smoothing,1.5,z_plus,0.001,500,0.0
temporal_smoothing,1.5,z_plus_renorm,0.05,500,0.076
temporal_smoothing,1.5,z_plus_renorm,0.01,500,0.018
temporal_smoothing,1.5,z_plus_renorm,0.001,500,0.0
temporal_smoothing,1.5,breadth,0.05,500,0.018
temporal_smoothing,1.5,breadth,0.01,500,0.0
temporal_smoothing,1.5,breadth,0.001,500,0.0
