archetype,delta,composite,alpha,n_finite,detection_rate
round_number,1.0,z_mahalanobis_sq,0.01,500,0.012
round_number,1.0,z_mahalanobis_sq,0.001,500,0.012
round_number,1.0,t_iut,0.05,500,0.056
round_number,1.0,t_iut,0.01,500,0.012
round_number,1.0,t_iut,0.001,500,0.008
round_number,1.0,z_plus_softmax,0.05,500,0.16
round_number,1.0,z_plus_softmax,0.01,500,0.16
round_number,1.0,z_plus_softmax,0.001,500,0.16
round_number,1.0,z_plus_orth,0.05,500,0.164
round_number,1.0,z_plus_orth,0.01,500,0.16
round_number,1.0,z_plus_orth,0.001,500,0.16
round_number,1.5,z_plus,0.05,500,0.174
round_number,1.5,z_plus,0.01,500,0.036
round_number,1.5,z_plus,0.001,500,0.036
round_number,1.5,z_plus_renorm,0.05,500,0.08
round_number,1.5,z_plus_renorm,0.01,500,0.048
round_number,1.5,z_plus_renorm,0.001,500,0.044
round_number,1.5,breadth,0.05,500,0.042
round_number,1.5,breadth,0.01,500,0.0
round_number,1.5,breadth,0.001,500,0.0
round_number,1.5,z_mahalanobis_sq,0.05,500,0.102
round_number,1.5,z_mahalanobis_sq,0.01,500,0.018
round_number,1.5,z_mahalanobis_sq,0.001,500,0.016
round_number,1.5,t_iut,0.05,500,0.114
round_number,1.5,t_iut,0.01,500,0.02
round_number,1.5,t_iut,0.001,500,0.012
round_number,1.5,z_plus_softmax,0.05,500,0.134
round_number,1.5,z_plus_softmax,0.01,500,0.134
round_number,1.5,z_plus_softmax,0.001,500,0.134
round_number,1.5,z_plus_orth,0.05,500,0.134
round_number,1.5,z_plus_orth,0.01,500,0.134
round_number,1.5,z_plus_orth,0.001,500,0.134
round_number,2.0,z_plus,0.05,500,0.234
round_number,2.0,z_plus,0.01,500,0.044
round_number,2.0,z_plus,0.001,500,0.044
round_number,2.0,z_plus_renorm,0.05,500,0.092
round_number,2.0,z_plus_renorm,0.01,500,0.044
round_number,2.0,z_plus_renorm,0.001,500,0.04
round_number,2.0,breadth,0.05,500,0.034
round_number,2.0,breadth,0.01,500,0.0
round_number,2.0,breadth,0.001,500,0.0
round_number,2.0,z_mahalanobis_sq,0.05,500,0.12
round_number,2.0,z_mahalanobis_sq,0.01,500,0.026
round_number,2.0,z_mahalanobis_sq,0.001,500,0.014
round_number,2.0,t_iut,0.05,500,0.096
round_number,2.0,t_iut,0.01,500,0.016
round_number,2.0,t_iut,0.001,500,0.012
round_number,2.0,z_plus_softmax,0.05,500,0.148
round_number,2.0,z_plus_softmax,0.01,500,0.148
round_number,2.0,z_plus_softmax,0.001,500,0.148
round_number,2.0,z_plus_orth,0.05,500,0.148
round_number,2.0,z_plus_orth,0.01,500,0.148
round_number,2.0,z_plus_orth,0.001,500,0.148
round_number,3.0,z_plus,0.05,500,0.33
round_number,3.0,z_plus,0.01,500,0.088
round_number,3.0,z_plus,0.001,500,0.08
round_number,3.0,z_plus_renorm,0.05,500,0.176
