archetype,delta,detector,alpha,n_finite,flag_rate
threshold_clustering,1.5,z8,0.01,500,0.012
threshold_clustering,1.5,z8,0.001,500,0.008
threshold_clustering,1.5,z57,0.05,500,0.418
threshold_clustering,1.5,z57,0.01,500,0.176
threshold_clustering,1.5,z57,0.001,500,0.036
threshold_clustering,2.0,z1,0.05,500,0.104
threshold_clustering,2.0,z1,0.01,500,0.104
threshold_clustering,2.0,z1,0.001,500,0.104
threshold_clustering,2.0,z2,0.05,500,0.212
threshold_clustering,2.0,z2,0.01,500,0.116
threshold_clustering,2.0,z2,0.001,500,0.058
threshold_clustering,2.0,z3,0.05,500,0.044
threshold_clustering,2.0,z3,0.01,500,0.0
threshold_clustering,2.0,z3,0.001,500,0.0
threshold_clustering,2.0,z4,0.05,500,0.48
threshold_clustering,2.0,z4,0.01,500,0.318
threshold_clustering,2.0,z4,0.001,500,0.084
threshold_clustering,2.0,z6,0.05,500,0.248
threshold_clustering,2.0,z6,0.01,500,0.196
threshold_clustering,2.0,z6,0.001,500,0.142
threshold_clustering,2.0,z8,0.05,500,0.046
threshold_clustering,2.0,z8,0.01,500,0.012
threshold_clustering,2.0,z8,0.001,500,0.006
threshold_clustering,2.0,z57,0.05,500,0.614
threshold_clustering,2.0,z57,0.01,500,0.348
threshold_clustering,2.0,z57,0.001,500,0.11
threshold_clustering,3.0,z1,0.05,500,0.14
threshold_clustering,3.0,z1,0.01,500,0.14
threshold_clustering,3.0,z1,0.001,500,0.14
threshold_clustering,3.0,z2,0.05,500,0.206
threshold_clustering,3.0,z2,0.01,500,0.124
threshold_clustering,3.0,z2,0.001,500,0.06
threshold_clustering,3.0,z3,0.05,500,0.028
threshold_clustering,3.0,z3,0.01,500,0.0
threshold_clustering,3.0,z3,0.001,500,0.0
threshold_clustering,3.0,z4,0.05,500,0.898
threshold_clustering,3.0,z4,0.01,500,0.676
threshold_clustering,3.0,z4,0.001,500,0.446
threshold_clustering,3.0,z6,0.05,500,0.198
threshold_clustering,3.0,z6,0.01,500,0.16
threshold_clustering,3.0,z6,0.001,500,0.106
threshold_clustering,3.0,z8,0.05,500,0.052
threshold_clustering,3.0,z8,0.01,500,0.012
threshold_clustering,3.0,z8,0.001,500,0.008
threshold_clustering,3.0,z57,0.05,500,0.898
threshold_clustering,3.0,z57,0.01,500,0.718
threshold_clustering,3.0,z57,0.001,500,0.44
round_number,0.5,z1,0.05,500,0.16
round_number,0.5,z1,0.01,500,0.16
round_number,0.5,z1,0.001,500,0.16
round_number,0.5,z2,0.05,500,0.274
round_number,0.5,z2,0.01,500,0.192
round_number,0.5,z2,0.001,500,0.07
round_number,0.5,z3,0.05,500,0.022
round_number,0.5,z3,0.01,500,0.0
round_number,0.5,z3,0.001,500,0.0
round_number,0.5,z4,0.05,500,0.014
round_number,0.5,z4,0.01,500,0.014
round_number,0.5,z4,0.001,500,0.014
round_number,0.5,z6,0.05,500,0.25
round_number,0.5,z6,0.01,500,0.206
round_number,0.5,z6,0.001,500,0.152
round_number,0.5,z8,0.05,500,0.038
round_number,0.5,z8,0.01,500,0.008
round_number,0.5,z8,0.001,500,0.004
round_number,0.5,z57,0.05,500,0.048
round_number,0.5,z57,0.01,500,0.014
round_number,0.5,z57,0.001,500,0.008
round_number,1.0,z1,0.05,500,0.264
round_number,1.0,z1,0.01,500,0.154
round_number,1.0,z1,0.001,500,0.154
